model,features,mean_regret_ctx,mean_regret_cf,regret_reduction,wilcoxon_p
lgbm,op_only,0.0003155563625024144,0.0003155563625024144,0.0,
lgbm,op+A,0.000336843241226664,0.0003155563625024144,-2.1286878724249586e-05,0.0038075118839726
lgbm,op+B,0.0004458576621786546,0.0003155563625024144,-0.0001303012996762402,6.606369013836612e-26
lgbm,op+A+B,0.00030731078341161855,0.0003155563625024144,8.245579090795864e-06,1.3256721055665392e-13
lgbm,op+A+B+C,0.00030303687359864125,0.0003155563625024144,1.2519488903773158e-05,6.4903698758105655e-06
lgbm,descriptors+A+B,0.0002962973777250113,0.0003155563625024144,1.9258984777403094e-05,0.8682095954534266
linear,op_only,0.0003155563625024144,0.0003155563625024144,0.0,
linear,op+A,0.0003155563625024144,0.0003155563625024144,0.0,
linear,op+B,0.0003155563625024144,0.0003155563625024144,0.0,
linear,op+A+B,0.0003155563625024144,0.0003155563625024144,0.0,
linear,op+A+B+C,0.0003155563625024144,0.0003155563625024144,0.0,
linear,descriptors+A+B,0.0003155563625024144,0.0003155563625024144,0.0,
