host,selector,gap,auc,q25,ttt
ALNS,exp3,0.10997664693191528,0.4544990920311782,30205.28,1501.0
ALNS,roulette,0.10705763442562624,0.444405741122862,30225.3,1501.0
ALNS,serene,0.10277109637329224,0.38925854738763555,29386.45,1501.0
ALNS,ucb1,0.11416489154362244,0.4665618039131225,30472.94,1501.0
ALNS,uniform,0.11374443209333147,0.4605935970421826,30382.67,1501.0
LS,exp3,0.10632673653684732,0.4125250472516482,29591.6,1501.0
LS,roulette,0.11132980551990533,0.4219876110982142,29544.67,1501.0
LS,serene,0.11387798860320204,0.39788797701595124,29195.65,1501.0
LS,ucb1,0.11233722242019484,0.4237227380229449,29877.61,1501.0
LS,uniform,0.11253551652469844,0.4173614822029088,29608.56,1501.0
SA,exp3,0.20086495146998615,0.7267817307124155,32881.61,1499.72
SA,roulette,0.19707170553213582,0.7179140824228197,33037.83,1501.0
SA,serene,0.18694453709101308,0.6650379786319804,32131.25,1501.0
SA,ucb1,0.20699263553108582,0.7355320380922411,33013.04,1501.0
SA,uniform,0.20312981114641293,0.7177331942393665,32766.24,1501.0
Tabu,exp3,0.24068851577160438,0.7578715581202828,32518.17,1501.0
Tabu,roulette,0.20390467143532104,0.7225966730284735,32533.96,1501.0
Tabu,serene,0.17413222040462348,0.6000335366052062,31395.32,1493.78
Tabu,ucb1,0.24851313448179035,0.7765435813636672,33067.54,1501.0
Tabu,uniform,0.24115059029485766,0.7525467689713433,32637.54,1501.0
